run_count,Left Power,Right Power,L Current,R Current,L Voltage,R Voltage,L Speed,R Speed
77,-0.15,-0.1,0.77,-0.19,-1.35527859237537,-0.766373411534702,-0.446979865771812,0.371140939597315
78,0.15,0.15,0.18,0.19,1.37815249266862,1.38387096774194,0.564876957494407,-0.565548098434004
79,-0.15,-0.15,0.19,0.13,-1.37243401759531,-1.37815249266862,-0.558165548098434,0.565324384787472
80,0.15,0.2,-0.24,0.91,1.36671554252199,1.95259042033236,0.604026845637584,-0.714317673378076
81,-0.15,-0.2,-0.21,0.91,-1.36099706744868,-1.93597262952102,-0.595078299776286,0.708053691275168
82,0.15,0.25,-0.42,1.56,1.36099706744868,2.53954056695992,0.619686800894855,-0.914317673378076
83,-0.15,-0.25,-0.43,1.6,-1.36099706744868,-2.53954056695992,-0.61834451901566,0.912527964205816
84,0.15,0.3,-0.61,2.23,1.33240469208211,3.07565982404692,0.647874720357942,-1.12639821029083
85,-0.15,-0.3,-0.68,2.71,-1.3266862170088,-3.03519061583578,-0.668903803131991,1.08210290827741
86,0.15,0.35,0.02,2.28,1.29809384164223,3.6238514173998,0.545190156599552,-1.39910514541387
87,-0.15,-0.35,-0.71,3.4,-1.30953079178886,-3.57531769305963,-0.66241610738255,1.29418344519016
88,0.15,0.4,-0.15,3.37,1.28093841642229,4.14780058651026,0.55592841163311,-1.55324384787472
89,-0.15,-0.4,-0.74,4.18,-1.30953079178886,-4.12903225806452,-0.66420581655481,1.51029082774049
90,0.15,0.45,0.07,4.45,1.26378299120235,4.65620723362659,0.525279642058166,-1.72774049217002
91,-0.15,-0.45,-1.04,5.26,-1.30953079178886,-4.6989247311828,-0.702460850111857,1.72774049217002
92,0.15,0.5,0.07,4.8,1.26950146627566,5.26881720430108,0.530425055928412,-1.98993288590604
93,-0.15,-0.5,-0.47,4.95,-1.26950146627566,-5.1969696969697,-0.581431767337808,1.95190156599553
94,0.15,0.55,0.38,5.86,1.23519061583578,5.70601173020528,0.448545861297539,-2.15190156599553
95,-0.15,-0.55,-0.68,6.97,-1.26950146627566,-5.67947214076246,-0.640492170022371,2.10134228187919
96,0.2,0,1.98,0,1.84457478005865,0,0.601565995525727,-0.063087248322148
97,-0.2,0,1.8,0,-1.87781036168133,0,-0.622818791946309,0.057494407158837
98,0.2,0.05,2.01,-0.09,1.86119257086999,0.126881720430108,0.603355704697987,-0.210514541387025
99,-0.2,-0.05,1.62,-0.07,-1.886119257087,-0.127956989247312,-0.639821029082774,0.18993288590604
100,0.2,0.1,1.43,-0.34,1.90273704789834,0.747605083088954,0.657718120805369,-0.437136465324385
101,-0.2,-0.1,1.2,-0.23,-1.91104594330401,-0.750733137829912,-0.67337807606264,0.402684563758389
102,0.2,0.15,0.84,-0.34,1.93597262952102,1.36671554252199,0.723489932885906,-0.60917225950783
103,-0.2,-0.15,0.92,-0.27,-1.93597262952102,-1.36671554252199,-0.701342281879195,0.602013422818792
104,0.2,0.2,0.19,0.14,1.94428152492669,1.96089931573803,0.810738255033557,-0.815436241610738
105,-0.2,-0.2,0.22,0.16,-1.94428152492669,-1.95259042033236,-0.804026845637584,0.809619686800895
106,0.2,0.25,-0.25,1.16,1.93597262952102,2.53954056695992,0.832214765100671,-0.978299776286354
107,-0.2,-0.25,-0.27,1.08,-1.93597262952102,-2.53954056695992,-0.838702460850112,0.981431767337808
108,0.2,0.3,-0.6,2.14,1.91935483870968,3.07565982404692,0.854809843400447,-1.13288590604027
109,-0.2,-0.3,-0.66,2.09,-1.91935483870968,-3.07565982404692,-0.861297539149888,1.1413870246085
110,0.2,0.35,-0.44,2.49,1.87781036168133,3.6400293255132,0.827293064876957,-1.37986577181208
111,-0.2,-0.35,-0.73,2.82,-1.886119257087,-3.60767350928641,-0.843176733780761,1.33221476510067
112,0.2,0.4,-0.08,2.66,1.83626588465298,4.12903225806452,0.778523489932886,-1.60335570469799
113,-0.2,-0.4,-1.02,3.46,-1.86119257086999,-4.09149560117302,-0.868903803131991,1.53109619686801
114,0.2,0.45,-0.65,3.71,1.87781036168133,4.76300097751711,0.830872483221476,-1.81677852348993
115,-0.2,-0.45,-1.38,4.83,-1.85288367546432,-4.61348973607038,-0.915883668903803,1.7
116,0.2,0.5,0.1,3.81,1.83626588465298,5.316715542522,0.771364653243848,-2.0579418344519
117,-0.2,-0.5,-0.89,4.84,-1.84457478005865,-5.1969696969697,-0.842505592841163,1.94675615212528
118,0.2,0.55,0.16,5.13,1.81133919843597,5.78563049853372,0.75324384787472,-2.20134228187919
119,-0.2,-0.55,-0.47,5.63,-1.82795698924731,-5.70601173020528,-0.804474272930649,2.16465324384787
120,0.25,0,3.04,0,2.40874877810362,0,0.781208053691275,-0.072706935123043
121,-0.25,0,2.46,0,-2.48504398826979,0,-0.848098434004474,0.052125279642058
122,0.25,0.05,2.85,-0.09,2.43054740957967,0.124731182795699,0.806711409395973,-0.209395973154362
123,-0.25,-0.05,2.17,-0.07,-2.45234604105572,-0.124731182795699,-0.848098434004474,0.187695749440716
124,0.25,0.1,2.3,-0.29,2.44144672531769,0.725708699902248,0.847427293064877,-0.412751677852349
125,-0.25,-0.1,2.25,-0.43,-2.45234604105572,-0.725708699902248,-0.84675615212528,0.442953020134228
126,0.25,0.15,1.58,-0.24,2.47414467253177,1.32096774193548,0.899328859060403,-0.587024608501119
127,-0.25,-0.15,1.68,-0.51,-2.51774193548387,-1.34956011730205,-0.897986577181208,0.625055928411633
128,0.25,0.2,1.17,-0.47,2.51774193548387,1.93597262952102,0.965548098434005,-0.842729306487696
129,-0.25,-0.2,1.24,-0.41,-2.50684261974585,-1.91935483870968,-0.958165548098434,0.834004474272931
130,0.25,0.25,0.31,0.18,2.59403714565005,2.59403714565005,1.05749440715884,-1.06353467561521
131,-0.25,-0.25,0.34,0.24,-2.58313782991202,-2.59403714565005,-1.04317673378076,1.05324384787472
132,0.25,0.3,-0.22,1.12,2.572238514174,3.14310850439883,1.07919463087248,-1.24362416107383
133,-0.25,-0.3,-0.29,1.24,-2.5286412512219,-3.0891495601173,-1.05592841163311,1.20715883668904
134,0.25,0.35,-0.56,1.83,2.48504398826979,3.59149560117302,1.06062639821029,-1.40782997762864
135,-0.25,-0.35,-0.59,2.31,-2.53954056695992,-3.65620723362659,-1.07718120805369,1.39821029082774
136,0.25,0.4,-0.38,2.39,2.47414467253177,4.18533724340176,1.04630872483221,-1.63221476510067
137,-0.25,-0.4,-1.02,3.27,-2.48504398826979,-4.11026392961877,-1.07293064876957,1.5510067114094
138,0.25,0.45,-0.68,3.83,2.45234604105572,4.7202834799609,1.06129753914989,-1.79709172259508
139,-0.25,-0.45,-1.32,4.77,-2.49594330400782,-4.65620723362659,-1.09574944071588,1.73042505592841
140,0.25,0.5,-0.59,4.16,2.46324535679374,5.24486803519062,1.04407158836689,-2.02371364653244
141,-0.25,-0.5,-0.8,4.66,-2.46324535679374,-5.22091886608016,-1.05190156599553,1.9841163310962
142,0.25,0.55,-0.65,4.65,2.43054740957967,5.75909090909091,1.04854586129754,-2.22639821029083
143,-0.25,-0.55,-0.98,5.65,-2.47414467253177,-5.75909090909091,-1.06510067114094,2.16263982102908
144,0.3,0,3.29,0,2.91378299120235,0,1.01275167785235,-0.057046979865772
145,-0.3,0,3.61,0,-2.94076246334311,0,-1.0178970917226,0.068903803131991
146,0.3,0.05,3.78,-0.1,2.95425219941349,0.123118279569892,1.02058165548098,-0.21834451901566
147,-0.3,-0.05,3.4,-0.09,-3.00821114369501,-0.124193548387097,-1.05234899328859,0.20917225950783
148,0.3,0.1,3.2,-0.38,3.0217008797654,0.725708699902248,1.06577181208054,-0.435570469798658
149,-0.3,-0.1,3.18,-0.49,-2.99472140762463,-0.713196480938416,-1.03959731543624,0.443624161073825
150,0.3,0.15,2.78,-0.69,3.00821114369501,1.32096774193548,1.07069351230425,-0.667114093959732
151,-0.3,-0.15,2.63,-0.67,-3.03519061583578,-1.3266862170088,-1.09038031319911,0.659060402684564
152,0.3,0.2,1.86,-0.78,3.04868035190616,1.90273704789834,1.15391498881432,-0.852572706935123
153,-0.3,-0.2,2.19,-0.77,-3.0217008797654,-1.89442815249267,-1.10559284116331,0.850782997762864
154,0.3,0.25,1.33,-0.5,3.0217008797654,2.49594330400782,1.18680089485459,-1.05413870246085
155,-0.3,-0.25,1.4,-0.48,-3.00821114369501,-2.48504398826979,-1.17539149888143,1.05257270693512
156,0.3,0.3,0.55,0.19,3.10263929618768,3.10263929618768,1.25436241610738,-1.27136465324385
157,-0.3,-0.3,0,0,0,0,0,0
158,0.3,0.35,-0.32,1.14,3.07565982404692,3.6238514173998,1.27606263982103,-1.44519015659955
159,-0.3,-0.35,-0.34,1.56,-3.14310850439883,-3.70474095796676,-1.30402684563758,1.45906040268456
160,0.3,0.4,-0.54,2.21,3.03519061583578,4.14780058651026,1.2758389261745,-1.6324384787472
161,-0.3,-0.4,-0.86,2.58,-3.04868035190616,-4.14780058651026,-1.30089485458613,1.61275167785235
162,0.3,0.45,-0.11,2.16,3.03519061583578,4.67756598240469,1.2510067114094,-1.86465324384787
163,-0.3,-0.45,-1.35,3.69,-3.0891495601173,-4.741642228739,-1.32975391498881,1.8082774049217
164,0.3,0.5,0,0,0,0,0,0
165,-0.3,-0.5,-0.83,4.14,-3.0217008797654,-5.1969696969697,-1.28434004474273,1.99888143176734
166,0.3,0.55,0.26,9.36,2.96774193548387,5.62639296187683,1.21454138702461,-2.0489932885906
167,-0.3,-0.55,-1.3,4.81,-3.0891495601173,-5.83870967741935,-1.32013422818792,2.24362416107383
168,0.35,0,4.32,0,3.49442815249267,0,1.24161073825503,-0.04586129753915
169,-0.35,0,3.52,0,-3.54296187683284,0,-1.2744966442953,0.070693512304251
170,0.35,0.05,3.76,-0.05,3.57531769305963,0.123118279569892,1.28210290827741,-0.171140939597315
171,-0.35,-0.05,15.58,-0.02,-3.52678396871945,-0.123118279569892,-0.814988814317673,0.138031319910515
172,0.35,0.1,3.42,-0.38,3.54296187683284,0.706940371456501,1.30022371364653,-0.42841163310962
173,-0.35,-0.1,4.09,-0.59,-3.44589442815249,-0.694428152492669,-1.23736017897092,0.453691275167785
174,0.35,0.15,3.25,-0.6,3.52678396871945,1.2866568914956,1.28657718120805,-0.625279642058165
175,-0.35,-0.15,3.37,-0.86,-3.51060606060606,-1.29809384164223,-1.27718120805369,0.674720357941834
176,0.35,0.2,2.85,-0.89,3.52678396871945,1.84457478005865,1.30223713646532,-0.836912751677852
177,-0.35,-0.2,2.69,-0.83,-3.67238514173998,-1.92766373411535,-1.37203579418345,0.863758389261745
178,0.35,0.25,2.33,-0.66,3.73709677419355,2.572238514174,1.43937360178971,-1.10402684563758
179,-0.35,-0.25,2.25,-0.84,-3.65620723362659,-2.53954056695992,-1.42035794183445,1.09686800894855
180,0.35,0.3,1.43,-0.49,3.67238514173998,3.11612903225806,1.46085011185682,-1.3076062639821
181,-0.35,-0.3,1.56,-0.52,-3.65620723362659,-3.11612903225806,-1.44742729306488,1.30178970917226
182,0.35,0.35,0.59,0.13,3.75327468230694,3.76945259042033,1.5178970917226,-1.53199105145414
183,-0.35,-0.35,0.64,0.13,-3.76945259042033,-3.76945259042033,-1.51029082774049,1.5324384787472
184,0.35,0.4,-0.16,0.93,3.70474095796676,4.26041055718475,1.53758389261745,-1.71409395973154
185,-0.35,-0.4,-0.12,0.99,-3.73709677419355,-4.2791788856305,-1.54429530201342,1.72505592841163
186,0.35,0.45,0.17,1.78,3.70474095796676,4.84843597262952,1.52460850111857,-1.95055928411633
187,-0.35,-0.45,-0.67,2.73,-3.76945259042033,-4.86979472140763,-1.57829977628635,1.91319910514541
188,0.35,0.5,0.23,1.43,3.72091886608016,5.43646138807429,1.51319910514541,-2.17091722595078
189,-0.35,-0.5,-0.99,3.59,-3.72091886608016,-5.36461388074291,-1.56599552572707,2.09395973154362
190,0.35,0.55,0.3,2.76,3.57531769305963,5.86524926686217,1.46778523489933,-2.31677852348993
191,-0.35,-0.55,-1.17,4.07,-3.65620723362659,-5.81217008797654,-1.54228187919463,2.26241610738255
192,0.4,0,4.51,0,3.99765395894428,0,1.4592841163311,-0.098657718120805
193,-0.4,0,4.1,0,-4.18533724340176,0,-1.53557046979866,0.073154362416107
194,0.4,0.05,15.92,0,4.54193548387097,0.13010752688172,0.723042505592841,-0.000223713646532
195,-0.4,-0.05,4.85,-0.09,-4.03519061583578,-0.11989247311828,-1.4662192393736,0.2
196,0.4,0.1,3.52,0.05,4.09149560117302,0.703812316715543,1.54630872483221,-0.291051454138702
197,-0.4,-0.1,3.79,-0.34,-4.14780058651026,-0.710068426197459,-1.53512304250559,0.417002237136465
198,0.4,0.15,0,0,0,0,0,0.005145413870246
199,-0.4,-0.15,12.67,0.31,-3.28445747800587,-1.08651026392962,-1.2082774049217,0.464429530201342
200,0.4,0.2,0,0,0,0,0,0
201,-0.4,-0.2,3.9,-1.16,-4.12903225806452,-1.886119257087,-1.52505592841163,0.898657718120805
202,0.4,0.25,3.19,-1.01,4.14780058651026,2.48504398826979,1.57181208053691,-1.08456375838926
